Timestamp,Consent,Age,Gender,University,DegreeProgram,Platform,DailyUsage,SMU1,SMU2,SMU3,SMU4,SMU5,DI1,DI2,DI3,DI4,DI5,EC1,EC2,EC3,EC4,SC1,SC2,SC3,SC4,SC5,SE1,SE2,SE3,SE4,SE5,SE6,SE7,SE8,SE9,SE10
12/11/2025 14:16:24,Yes,30+,Male,KIET,Masters (MBA/MS/MPhill),Both,3–5 hours,2,1,1,1,4,5,5,3,3,1,4,5,5,4,1,3,3,1,1,5,3,5,1,1,5,5,1,5,3
12/11/2025 14:31:54,Yes,30+,Male,KIET,Masters (MBA/MS/MPhill),Both,Less than 1 hour,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
12/11/2025 14:32:20,Yes,30+,Male,Arena Multimedia ,Diploma ,Both,5+ hours,5,5,5,5,5,5,5,5,5,5,3,5,5,5,3,5,2,5,4,5,5,5,5,5,5,5,5,5,5
12/11/2025 14:35:01,Yes,23–26,Female,IQRA,Bachelors (BS/BA/BBA),Instagram,Less than 1 hour,5,5,1,1,5,5,5,1,1,1,5,5,5,5,1,1,1,1,1,5,5,5,1,1,5,5,1,5,1
12/11/2025 14:36:17,Yes,23–26,Female,KIET,Masters (MBA/MS/MPhill),Both,1–3 hours,4,4,1,5,5,5,5,5,5,5,5,5,5,5,1,1,2,1,1,5,1,5,5,1,5,1,1,5,1
12/11/2025 14:38:08,Yes,30+,Male,KIET,Masters (MBA/MS/MPhill),Both,Less than 1 hour,5,5,5,5,5,5,5,4,4,5,5,4,5,3,1,1,3,2,1,5,1,5,5,1,5,1,1,5,1
12/11/2025 14:39:16,Yes,27–30,Male,IoBM,Bachelors (BS/BA/BBA),Instagram,Less than 1 hour,2,2,5,4,3,5,5,3,2,4,5,5,5,3,5,1,1,1,1,5,4,5,5,1,5,1,4,5,5
12/11/2025 14:40:27,Yes,27–30,Male,KIET,Bachelors (BS/BA/BBA),Instagram,Less than 1 hour,5,3,3,1,4,5,4,4,4,3,4,5,4,3,1,1,1,1,1,5,1,5,4,3,4,3,1,2,1
12/11/2025 14:42:23,Yes,30+,Male,KIET,Bachelors (BS/BA/BBA),Instagram,1–3 hours,4,1,1,1,1,5,1,1,1,1,4,4,1,4,1,1,1,1,1,5,1,4,5,3,1,1,1,5,1
12/11/2025 14:43:58,Yes,18–22,Male,IQRA,Bachelors (BS/BA/BBA),Instagram,5+ hours,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
12/11/2025 14:45:52,Yes,30+,Male,KIET,Masters (MBA/MS/MPhill),Instagram,Less than 1 hour,3,2,3,3,3,5,5,3,5,5,5,5,5,3,1,2,1,2,1,5,3,5,3,3,5,5,2,5,1
12/11/2025 14:47:17,Yes,30+,Male,Arena Multimedia ,DAE,TikTok,5+ hours,5,5,5,2,4,5,5,2,4,4,5,5,5,5,2,1,1,1,1,5,5,4,4,4,4,4,2,4,3
12/11/2025 14:47:47,Yes,27–30,Male,KIET,Bachelors (BS/BA/BBA),Instagram,Less than 1 hour,3,2,2,1,1,3,5,4,2,1,1,1,1,1,1,1,1,1,1,5,3,3,5,3,5,3,3,5,3
12/11/2025 14:48:05,Yes,18–22,Male,KIET ,Bachelors (BS/BA/BBA),Instagram,3–5 hours,5,5,5,5,5,5,1,5,5,1,3,5,5,1,1,1,5,1,1,5,3,4,4,4,5,1,5,5,5
12/11/2025 14:50:08,Yes,27–30,Female,Bahria University,Masters (MBA/MS/MPhill),Instagram,5+ hours,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,1
12/11/2025 14:51:46,Yes,23–26,Male,KIET,Bachelors (BS/BA/BBA),Instagram,1–3 hours,5,5,3,1,5,5,1,5,5,5,1,1,1,1,1,1,1,1,1,5,1,5,5,1,5,5,5,5,1
